Species/Group,Landings (tonnes),source_file,Year,Demersal finfish,None_1,None_2,None_3
RIBBON FISHES,252179,marine_fish_landing_revised.pdf,,THREADFINS,12375,,
CARANGIDS,,marine_fish_landing_revised.pdf,,CROAKERS,177395,,
Horse Mackerel,36313,marine_fish_landing_revised.pdf,,SILVERBELLIES,121117,,
Scads,127935,marine_fish_landing_revised.pdf,,WHITEFISH,7269,,
Leather-jackets,14488,marine_fish_landing_revised.pdf,,POMFRETS,,,
Other carangids,69600,marine_fish_landing_revised.pdf,,Black pomfret,18449,,
MACKERELS,,marine_fish_landing_revised.pdf,,Silver pomfret,30416,,
Indian mackerel,199880,marine_fish_landing_revised.pdf,,Chinese pomfret,4794,,
Other mackerels,338,marine_fish_landing_revised.pdf,,FLAT FISHES,,,
SEER FISHES,,marine_fish_landing_revised.pdf,,Halibut,1492,,
Scomberomorus commerson,27680,marine_fish_landing_revised.pdf,,Flounders,298,,
Scomberomorus guttatus,14008,marine_fish_landing_revised.pdf,,Soles,45055,,
Acanthocybium spp.,37,marine_fish_landing_revised.pdf,,Shellfish,,,
TUNNIES,,marine_fish_landing_revised.pdf,,Crustaceans,,,
Euthynnus affinis,39738,marine_fish_landing_revised.pdf,,Penaeid prawns,196942,,
Auxis spp.,7724,marine_fish_landing_revised.pdf,,Non-penaeid prawns,213474,,
Katsuwonus pelamis,7078,marine_fish_landing_revised.pdf,,Lobsters,1410,,
Thunnus tonggol,12643,marine_fish_landing_revised.pdf,,Crabs,44586,,
Other tunnies,18108,marine_fish_landing_revised.pdf,,Stomatopods,20650,,
BILL FISHES,9646,marine_fish_landing_revised.pdf,,Molluscs*,,,
BARRACUDAS,25269,marine_fish_landing_revised.pdf,,Cephalopods,,,
MULLETS,10856,marine_fish_landing_revised.pdf,,Squids,100014,,
UNICORN COD,892,marine_fish_landing_revised.pdf,,Cuttlefish,82964,,
,,marine_fish_landing_revised.pdf,,Octopus,6448,,
,,marine_fish_landing_revised.pdf,,Miscellaneous,99786,,
"* In addition 113858 t of bivalves
(Oysters, Mussels, Clams)",,marine_fish_landing_revised.pdf,,Total,3781868,,
,,marine_fish_landing_revised.pdf,,,,,
,,marine_fish_landing_revised.pdf,,,,,
Non-penaeid prawns,,marine_fish_landing_revised.pdf,,,,,
"Penaeid prawns
Croakers
Bombayduck",,marine_fish_landing_revised.pdf,,,,,
Hilsa shad,,marine_fish_landing_revised.pdf,,,,,
"0 40 80
x Thousand tonnes
Puducherry",,marine_fish_landing_revised.pdf,,,,,
"Indian Council of Agricultural Research
Central Marine Fisheries Research Institute
Post Box No.1603, Ernakulam North P.O., Kochi-682 018, Kerala, India.
Phone: +91 484 2394357, 2394867 | Fax: +91 484 2394909
E-mail: director.cmfri@icar.gov.in | www.cmfri.org.in",Marine%20Fish%20Landings%20in%20India_2022.pdf,,,,,,
Pelagic finfish,Demersal finfish,Marine%20Fish%20Landings_2015.pdf,,,,,
CLUPEOIDS,ELASMOBRANCHS,Marine%20Fish%20Landings_2015.pdf,,,,,
Wolf herring 16922,Sharks 23595,Marine%20Fish%20Landings_2015.pdf,,,,,
Oil sardine 265667,Skates 2004,Marine%20Fish%20Landings_2015.pdf,,,,,
Other sardines 256016,Rays 26835,Marine%20Fish%20Landings_2015.pdf,,,,,
Hilsa shad 20659,Eels 11193,Marine%20Fish%20Landings_2015.pdf,,,,,
Other shads 19446,Catfishes 83354,Marine%20Fish%20Landings_2015.pdf,,,,,
Anchovies,LIZARD FISHES 77838,Marine%20Fish%20Landings_2015.pdf,,,,,
Coilia 26825,PERCHES,Marine%20Fish%20Landings_2015.pdf,,,,,
Setipinna 5446,Rock cods 43146,Marine%20Fish%20Landings_2015.pdf,,,,,
Stolephorus 63382,Snappers 9860,Marine%20Fish%20Landings_2015.pdf,,,,,
Thryssa 50634,Pig-face breams 18761,Marine%20Fish%20Landings_2015.pdf,,,,,
Other clupeoids 63644,Threadfin breams 162764,Marine%20Fish%20Landings_2015.pdf,,,,,
BOMBAYDUCK 110417,Other perches 95199,Marine%20Fish%20Landings_2015.pdf,,,,,
HALF BEAKS & FULL BEAKS 5204,GOATFISHES 30470,Marine%20Fish%20Landings_2015.pdf,,,,,
FLYING FISHES 4402,THREADFINS 11030,Marine%20Fish%20Landings_2015.pdf,,,,,
RIBBON FISHES 177259,CROAKERS 155383,Marine%20Fish%20Landings_2015.pdf,,,,,
CARANGIDS,SILVERBELLIES 97663,Marine%20Fish%20Landings_2015.pdf,,,,,
Horse Mackerel 36510,BIG-JAWED JUMPER 7062,Marine%20Fish%20Landings_2015.pdf,,,,,
Scads 112131,POMFRETS,Marine%20Fish%20Landings_2015.pdf,,,,,
Leather-jackets 16181,Black pomfret 13668,Marine%20Fish%20Landings_2015.pdf,,,,,
Other carangids 77707,Silver pomfret 23819,Marine%20Fish%20Landings_2015.pdf,,,,,
MACKERELS,Chinese pomfret 3317,Marine%20Fish%20Landings_2015.pdf,,,,,
Indian mackerel 237801,FLAT FISHES,Marine%20Fish%20Landings_2015.pdf,,,,,
Other mackerels 475,Halibut 2559,Marine%20Fish%20Landings_2015.pdf,,,,,
SEER FISHES,Flounders 87,Marine%20Fish%20Landings_2015.pdf,,,,,
Scomberomorus commersoni 39362,Soles 41535,Marine%20Fish%20Landings_2015.pdf,,,,,
Scomberomorus guttatus 16276,Crustaceans,Marine%20Fish%20Landings_2015.pdf,,,,,
Acanthocybium spp. 466,Penaeid prawns 199195,Marine%20Fish%20Landings_2015.pdf,,,,,
TUNNIES,Non-penaeid prawns 149101,Marine%20Fish%20Landings_2015.pdf,,,,,
Euthynnus affinis 35858,Lobsters 2003,Marine%20Fish%20Landings_2015.pdf,,,,,
Auxis spp. 8176,Crabs 47464,Marine%20Fish%20Landings_2015.pdf,,,,,
Katsuwonus pelamis 8302,Stomatopods 25694,Marine%20Fish%20Landings_2015.pdf,,,,,
Thunnus tonggol 9207,Molluscs,Marine%20Fish%20Landings_2015.pdf,,,,,
Thunnus albacares 15554,"Mussels, Oysters and Clams 92513#",Marine%20Fish%20Landings_2015.pdf,,,,,
Other tunnies 1373,Other Bivalves 5627,Marine%20Fish%20Landings_2015.pdf,,,,,
BILL FISHES 12033,Gastropods 2244,Marine%20Fish%20Landings_2015.pdf,,,,,
BARRACUDAS 30065,Cephalopods,Marine%20Fish%20Landings_2015.pdf,,,,,
MULLETS 7954,Squids 94222,Marine%20Fish%20Landings_2015.pdf,,,,,
UNICORN COD 256,Cuttlefish 107846,Marine%20Fish%20Landings_2015.pdf,,,,,
Others,Octopus 11409,Marine%20Fish%20Landings_2015.pdf,,,,,
Seaweeds 18650#,MISCELLANEOUS 67214,Marine%20Fish%20Landings_2015.pdf,,,,,
,Total 3515934,Marine%20Fish%20Landings_2015.pdf,,,,,
"#The estimates are based on an alternate method and are excluded from the comparisons
made. The comparisons are based on 3404771 tonnes (3515934-111163=3404771)",,Marine%20Fish%20Landings_2015.pdf,,,,,
Pelagic finfish,Demersal finfish,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
"CLUPEOIDS
Wolf herring 18566
Oil sardine 337390
Other sardines 226970
Hilsa shad 63437
Other shads 6967
Anchovies
Coilia 33574
Setipinna 8777
Stolephorus 64859
Thryssa 38003
Other clupeids 67607
Bombayduck 145115
Half Beaks&Full Beaks 7883
Flying Fishes 1345
Ribbon Fishes 239355
CARANGIDS
Horse Mackerel 51964
Scads 108010
Leather-jackets 16237
Other carangids 120019
MACKERELS
Indian mackerel 287880
Other mackerels 636
SEER FISHES
Scomberomorus commerson 30170
Scomberomorus guttatus 18163
Scomberomorus lineolatus 74
Acanthocybium solandri 268
TUNNIES
Euthynnus affinis 27680
Auxis spp. 16640
Katsuwonus pelamis 10559
Thunnus tonggol 7350
Thunnus albacares 13505
Other tunnies 4656
Bill Fishes 11328
Barracudas 33337
Mullets 7939
Unicorn Cod 325
Others
Seaweeds# 19640
Miscellaneous 68279",ELASMOBRANCHS,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Sharks 19777,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Guitarfishes 2628,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Rays 17766,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Eels 13174,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Catfishes 88177,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Lizard Fishes 57803,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,PERCHES,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Rock cods 53924,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Snappers 10518,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Pig-face breams 16483,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Threadfin breams 157773,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Bullseyes 143451,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Other perches 53807,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Goatfishes 20306,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Threadfins 10764,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Croakers 150241,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Silverbellies 89901,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Whitefish 3807,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,POMFRETS,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Black pomfret 12622,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Silver pomfret 28789,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Chinese pomfret 5466,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,FLAT FISHES,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Halibut 2069,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Flounders 90,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Soles 43173,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Crustaceans,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Penaeid prawns 209513,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Non-penaeid prawns 202748,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Lobsters 2863,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Crabs 53476,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Stomatopods 14784,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Molluscs,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,"Mussels, Oysters and Clams# 103639",Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Other Bivalves 52,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Gastropods 2083,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Cephalopods,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Squids 131774,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Cuttlefish 109089,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,Octopus 10816,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
,TOTAL 3957853,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
"#The estimates are based on an alternate method and are excluded from the comparisons
made. The comparisons are based on 3834574 tonnes (3957853-19640-103639=3834574)",,Marine%20Fishlandings%20in%20India_2017.pdf,,,,,
Pelagic finfish,Demersal finfish,Marine%20Fish%20Landings_2016.pdf,,,,,
CLUPEOIDS,ELASMOBRANCHS,Marine%20Fish%20Landings_2016.pdf,,,,,
Wolf herring 17657,Sharks 23002,Marine%20Fish%20Landings_2016.pdf,,,,,
Oil sardine 244992,Skates 3627,Marine%20Fish%20Landings_2016.pdf,,,,,
Other sardines 195163,Rays 26211,Marine%20Fish%20Landings_2016.pdf,,,,,
Hilsa shad 93679,Eels 11171,Marine%20Fish%20Landings_2016.pdf,,,,,
Other shads 12565,Catfishes 80559,Marine%20Fish%20Landings_2016.pdf,,,,,
Anchovies,Lizardfishes 94817,Marine%20Fish%20Landings_2016.pdf,,,,,
Coilia 30618,PERCHES,Marine%20Fish%20Landings_2016.pdf,,,,,
Setipinna 6990,Rock cods 42781,Marine%20Fish%20Landings_2016.pdf,,,,,
Stolephorus 61571,Snappers 10533,Marine%20Fish%20Landings_2016.pdf,,,,,
Thryssa 42255,Pig-face breams 12519,Marine%20Fish%20Landings_2016.pdf,,,,,
Other clupeids 58579,Threadfin breams 170349,Marine%20Fish%20Landings_2016.pdf,,,,,
Bombayduck 144951,Bullseyes 130740,Marine%20Fish%20Landings_2016.pdf,,,,,
Half Beaks&Full Beaks 5593,Other perches 40321,Marine%20Fish%20Landings_2016.pdf,,,,,
Flyingfishes 3427,Goatfishes 30276,Marine%20Fish%20Landings_2016.pdf,,,,,
Ribbonfishes 217100,Threadfins 9728,Marine%20Fish%20Landings_2016.pdf,,,,,
CARANGIDS,Croakers 157793,Marine%20Fish%20Landings_2016.pdf,,,,,
Horse Mackerel 39936,Silverbellies 92764,Marine%20Fish%20Landings_2016.pdf,,,,,
Scads 105057,Whitefish 6312,Marine%20Fish%20Landings_2016.pdf,,,,,
Leather-jackets 17428,POMFRETS,Marine%20Fish%20Landings_2016.pdf,,,,,
Other carangids 83566,Black pomfret 13924,Marine%20Fish%20Landings_2016.pdf,,,,,
MACKERELS,Silver pomfret 26012,Marine%20Fish%20Landings_2016.pdf,,,,,
Indian mackerel 249241,Chinese pomfret 4227,Marine%20Fish%20Landings_2016.pdf,,,,,
Other mackerels 401,FLATFISHES,Marine%20Fish%20Landings_2016.pdf,,,,,
SEERFISHES,Halibut 2713,Marine%20Fish%20Landings_2016.pdf,,,,,
Scomberomorus commerson 37677,Flounders 100,Marine%20Fish%20Landings_2016.pdf,,,,,
Scomberomorus guttatus 17110,Soles 41015,Marine%20Fish%20Landings_2016.pdf,,,,,
Acanthocybium sp. 224,Crustaceans,Marine%20Fish%20Landings_2016.pdf,,,,,
TUNNIES,Penaeid prawns 200116,Marine%20Fish%20Landings_2016.pdf,,,,,
Euthynnus affinis 35466,Non-penaeid prawns 169558,Marine%20Fish%20Landings_2016.pdf,,,,,
Auxis spp. 13418,Lobsters 2976,Marine%20Fish%20Landings_2016.pdf,,,,,
Katsuwonus pelamis 16232,Crabs 56679,Marine%20Fish%20Landings_2016.pdf,,,,,
Thunnus tonggol 8090,Stomatopods 13861,Marine%20Fish%20Landings_2016.pdf,,,,,
Thunnus albacares 16792,Molluscs,Marine%20Fish%20Landings_2016.pdf,,,,,
Other tunnies 1637,"Mussels, Oysters and Clams 84483#",Marine%20Fish%20Landings_2016.pdf,,,,,
Billfishes 16815,Other Bivalves 1216,Marine%20Fish%20Landings_2016.pdf,,,,,
Barracudas 37817,Gastropods 2759,Marine%20Fish%20Landings_2016.pdf,,,,,
Mullets 7964,Cephalopods,Marine%20Fish%20Landings_2016.pdf,,,,,
Unicorn Cod 108,Squids 114886,Marine%20Fish%20Landings_2016.pdf,,,,,
Others,Cuttlefish 101805,Marine%20Fish%20Landings_2016.pdf,,,,,
Seaweeds 20576#,Octopus 14585,Marine%20Fish%20Landings_2016.pdf,,,,,
Miscellaneous 79769,,Marine%20Fish%20Landings_2016.pdf,,,,,
,TOTAL 3734882,Marine%20Fish%20Landings_2016.pdf,,,,,
"#The estimates are based on an alternate method and are excluded from the comparisons
made. The comparisons are based on 3629823 tonnes (3734882-20576-84483=3629823)",,Marine%20Fish%20Landings_2016.pdf,,,,,
